Tank,Colour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,Red,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Red,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Red,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
3,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Red,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,
5,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Red,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
7,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
8,Red,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
8,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Red,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
11,Green,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
11,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Red,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Red,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
15,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Red,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
16,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
