Date,Tank,Colour,Number_Morts
Nov_02,1,Green,2
Nov_02,1,Red,1
Nov_07,1,Red,1
Nov_07,1,Green,2
Nov_07,1,Blue,1
Nov_11,1,Blue,2
Nov_11,1,Red,1
Nov_11,1,Green,1
Nov_14,1,All,0
Nov_17,1,red,2
Nov_17,1,blank,2
Nov_17,1,blue,1
Nov_20,1,Green,3
Nov_20,1,Blue,1
Nov_25,1,Red,1
Nov_25,1,Blue,1
Nov_25,1,Green,2
Nov_02,2,Blue,1
Nov_02,2,Green,4
Nov_07,2,Red,1
Nov_11,2,Blue,2
Nov_11,2,Red,1
Nov_11,2,Green,2
Nov_11,2,Unmarked,1
Nov_14,2,All,0
Nov_17,2,Blue,1
Nov_20,2,Red,2
Nov_02,3,Red,1
Nov_02,3,Green,2
Nov_02,3,Blue,2
Nov_07,3,Red,1
Nov_07,3,Blue,1
Nov_07,3,Green,2
Nov_11,3,Unmarked,3
Nov_11,3,Red,1
Nov_11,3,Green,1
Nov_14,3,Red,1
Nov_14,3,Blue,1
Nov_14,3,Green,3
Nov_17,3,Red,1
Nov_02,4,Green,4
Nov_02,4,Red,1
Nov_07,4,Red,1
Nov_07,4,Blue,2
Nov_11,4,Blue,2
Nov_11,4,Red,1
Nov_11,4,Green,1
Nov_11,4,Unmarked,2
Nov_14,4,Red,1
Nov_14,4,Blue,1
Nov_17,4,Green,1
Nov_20,4,Green,1
Nov_20,4,Red,1
Nov_20,4,Blank,1
Nov_02,5,Green,1
Nov_02,5,Red,1
Nov_07,5,Red,1
Nov_11,5,Blue,1
Nov_14,5,Green,2
Nov_14,5,Blue,1
Nov_20,5,Blue,1
Nov_20,5,Green,1
Nov_20,5,Blank,2
Nov_25,5,Green,1
Nov_25,5,Red,1
Nov_02,6,Blue,2
Nov_02,6,Green,5
Nov_07,6,Green,1
Nov_07,6,Red,2
Nov_07,6,Blue,2
Nov_11,6,Green,1
Nov_14,6,Blue,1
Nov_17,6,Red,1
Nov_25,6,Red,1
Nov_25,6,B,1
Nov_02,7,Red,1
Nov_02,7,Green,5
Nov_07,7,Red,4
Nov_07,7,Green,2
Nov_07,7,Blue,1
Nov_11,7,Red,2
Nov_11,7,Green,1
Nov_11,7,Unmarked,1
Nov_14,7,Green,1
Nov_14,7,Blue,1
Nov_17,7,Green,1
Nov_02,9,Blue,1
Nov_02,9,Green,4
Nov_07,9,Green,5
Nov_07,9,Red,3
Nov_11,9,Blue,1
Nov_11,9,Green,4
Nov_14,9,Green,2
Nov_14,9,Red,5
Nov_14,9,Blue,1
Nov_17,9,Red,1
Nov_20,9,Red,1
24-Nov-23,9,Green,2
Nov_02,10,Green,2
Nov_02,10,Blue,2
Nov_07,10,Green,2
Nov_07,10,Red,2
Nov_11,10,Red,1
Nov_11,10,Blue,1
Nov_11,10,Unmarked,2
Nov_14,10,Blue,5
Nov_14,10,Red,1
Nov_14,10,Green,1
Nov_17,10,Green,2
Nov_17,10,Red,1
Nov_17,10,Blank,1
Nov_20,10,Green,1
Nov_20,10,Red,1
24-Nov-23,10,Green,1
24-Nov-23,10,Red,3
24-Nov-23,10,Blue,4
Nov_02,11,Red,1
Nov_11,11,Red,2
Nov_25,11,Green,1
Nov_02,12,Red,1
Nov_02,12,Green,4
Nov_07,12,Blue,0
Nov_07,12,Red,1
Nov_07,12,Green,4
Nov_14,12,Green,1
Nov_02,13,Green,5
Nov_07,13,Red,2
Nov_07,13,Green,2
Nov_11,13,Unmarked,3
Nov_11,13,Red,3
Nov_11,13,Blue,3
Nov_14,13,Blue,4
Nov_14,13,Green,2
Nov_14,13,Red,2
Nov_17,13,Red,1
Nov_17,13,Blue,1
Nov_20,13,Blue,1
Nov_20,13,Red,1
24-Nov-23,13,Green,1
24-Nov-23,13,Blue,2
24-Nov-23,13,Red,1
Nov_02,14,Green,3
Nov_02,14,Red,1
Nov_07,14,Green,2
Nov_11,14,Blue,1
Nov_11,14,Unmarked,1
Nov_14,14,Red,1
Nov_20,14,Red,1
Nov_02,15,Blue,1
Nov_02,15,Green,1
Nov_07,15,Blue,1
Nov_11,15,Blue,1
Nov_11,15,Red,1
Nov_14,15,Green,1
Nov_25,15,Red,1
Nov_02,16,Green,3
Nov_07,16,Red,2
Nov_07,16,Blue,0
Nov_14,16,Red,2
Nov_14,16,Blue,1
Nov_17,16,Blue,2
Nov_17,16,Red,1
Nov_20,16,Green,1
Nov_25,16,Green,1
