"","contrast","estimate","SE","df","t.ratio","p.value"
"1","2M Treatment20 - 3M Treatment20",-0.695811205870758,0.0569062682156996,2573,-12.2273209558098,0
"2","2M Treatment20 - 3M Treatment40",-0.784887819523327,0.106877839391681,2573,-7.34378449256361,0
"3","2M Treatment20 - 3M Treatment60",-0.836529785821029,0.0934463594682717,2573,-8.9519783390284,0
"4","2M Treatment20 - 3M Treatment80",-0.893939807492161,0.159803040405937,12,-5.59401000895442,0.00554281203817408
"5","2M Treatment20 - 3M Treatment100",-0.708051473465497,0.159922985263852,12,-4.42745282860563,0.0328729537936338
"6","3C Treatment20 - 3M Treatment20",-0.589952622576685,0.0541292815208024,2573,-10.8989553528428,0
"7","3C Treatment20 - 3M Treatment40",-0.679029236229254,0.106640572071,2573,-6.36745680412483,2.33344904509991e-08
"8","3C Treatment20 - 3M Treatment60",-0.730671202526956,0.0932917494376672,2573,-7.83210955878958,0
"9","3C Treatment20 - 3M Treatment80",-0.788081224198088,0.159415504598405,12,-4.94356697727365,0.0148206434251167
"10","3M Treatment20 - 2M Treatment40",0.608473589200061,0.109118997173381,2573,5.57623883065245,2.8135538698848e-06
"11","3M Treatment20 - 3C Treatment40",0.577172134642747,0.110054054847922,2573,5.24444224649705,1.73906460065876e-05
"12","3M Treatment20 - 2M Treatment60",0.874852275738087,0.0926984867632173,2573,9.43761118747009,0
"13","3M Treatment20 - 3C Treatment60",0.786115275475604,0.0943905017204624,2573,8.32833029962787,0
"14","3M Treatment20 - 2M Treatment100",0.767569449435269,0.159007431572352,12,4.82725519081167,0.0177210043300599
"15","3M Treatment20 - 3C Treatment100",0.958439707000726,0.160589969348496,12,5.96824142185877,0.00319788925300524
"16","2M Treatment40 - 3M Treatment40",-0.69755020285263,0.0586000599165821,2573,-11.9035749083807,0
"17","2M Treatment40 - 3M Treatment60",-0.749192169150332,0.0917689344951958,2573,-8.16389743731364,0
"18","2M Treatment40 - 3M Treatment80",-0.806602190821464,0.162249310330611,12,-4.97137515825412,0.014202119986005
"19","3C Treatment40 - 3M Treatment40",-0.666248748295316,0.0630585830720893,2573,-10.5655521554243,0
"20","3C Treatment40 - 3M Treatment60",-0.717890714593018,0.0927460738530535,2573,-7.74038926683237,0
"21","3C Treatment40 - 3M Treatment80",-0.77530073626415,0.163102971065669,12,-4.7534433689255,0.0198556100634839
"22","3M Treatment40 - 2M Treatment60",0.963928889390656,0.0873770598789382,2573,11.031830216377,0
"23","3M Treatment40 - 3C Treatment60",0.875191889128173,0.0889032437202536,2573,9.84431897538053,0
"24","3M Treatment40 - 2M Treatment80",0.694806621384076,0.160760199115845,12,4.32200647427285,0.0387040463287294
"25","3M Treatment40 - 2M Treatment100",0.856646063087838,0.160452707165302,12,5.3389318150008,0.00812111094818579
"26","3M Treatment40 - 3C Treatment100",1.04751632065329,0.162021128859136,12,6.4653068894738,0.00157309381910942
"27","2M Treatment60 - 3M Treatment60",-1.01557085568836,0.0652720085280386,2573,-15.5590563028577,0
"28","2M Treatment60 - 3M Treatment80",-1.07298087735949,0.158356235652812,12,-6.77574124527656,0.00102311807842004
"29","2M Treatment60 - 3M Treatment100",-0.887092543332826,0.158477275540846,12,-5.5976009197873,0.00551330256430926
"30","3C Treatment60 - 3M Treatment60",-0.926833855425875,0.0614802823705969,2573,-15.0753025146992,0
"31","3C Treatment60 - 3M Treatment80",-0.984243877097007,0.158622682941768,12,-6.20493777335951,0.00227402385850539
"32","3C Treatment60 - 3M Treatment100",-0.798355543070342,0.158743519667309,12,-5.02921659254828,0.0129988206264041
"33","3M Treatment60 - 2M Treatment80",0.746448587681777,0.158395608832469,12,4.71255859416707,0.0211486177142074
"34","3M Treatment60 - 3C Treatment80",0.7088655928862,0.15831051106722,12,4.47769126703918,0.0304122028064121
"35","3M Treatment60 - 2M Treatment100",0.90828802938554,0.158083517528921,12,5.74562132462274,0.00442875412779509
"36","3M Treatment60 - 3C Treatment100",1.099158286951,0.159675212460893,12,6.88371269410524,0.000883024482734696
"37","2M Treatment80 - 3M Treatment80",-0.80385860935291,0.0569221673810206,2573,-14.1220660831853,0
"38","3C Treatment80 - 3M Treatment80",-0.766275614557332,0.0566849628812007,2573,-13.5181461821414,0
"39","3M Treatment80 - 2M Treatment100",0.965698051056672,0.182671690786456,12,5.28652276058242,0.00878977888013521
"40","3M Treatment80 - 3C Treatment100",1.15656830862213,0.184050866813762,12,6.28396012822065,0.00203190946994813
"41","2M Treatment100 - 3M Treatment100",-0.779809717030007,0.0563760479563352,2573,-13.8322877409568,0
"42","3C Treatment100 - 3M Treatment100",-0.970679974595465,0.0607310039851101,2573,-15.9832690207699,0
