"","Ploidy","Time.point","Treatment","meanmass","SEM"
"1","Diploid","1_start","CTRL",7.16222222222222,0.375503552672388
"2","Diploid","1_start","250",7.35333333333333,0.391495449358849
"3","Diploid","1_start","500",7.34888888888889,0.419157671717721
"4","Diploid","1_start","750",6.88444444444444,0.389404564306303
"5","Diploid","1_start","1000",7.86444444444444,0.423956300820747
"6","Diploid","2_end","CTRL",7.03237,0.379920043784519
"7","Diploid","2_end","250",7.4008725,0.512693824373887
"8","Diploid","2_end","500",7.33932121212121,0.552934186720168
"9","Diploid","2_end","750",7.44241142857143,0.475658009370715
"10","Diploid","2_end","1000",7.835216,0.728311571093947
"11","Induced Triploid","1_start","CTRL",9.16444444444445,0.514518069649172
"12","Induced Triploid","1_start","250",8.14888888888889,0.560885143018435
"13","Induced Triploid","1_start","500",8.61333333333333,0.541020360340561
"14","Induced Triploid","1_start","750",7.74666666666667,0.498458229002798
"15","Induced Triploid","1_start","1000",8.20444444444444,0.581655210059576
"16","Induced Triploid","2_end","CTRL",8.199115,0.529963901801037
"17","Induced Triploid","2_end","250",7.74788,0.561583261451815
"18","Induced Triploid","2_end","500",8.4422,0.718692111798124
"19","Induced Triploid","2_end","750",7.93668,0.61715475870571
"20","Induced Triploid","2_end","1000",7.61127931034483,0.616126441672137
"21","Mated Triploid","1_start","CTRL",10.8066666666667,1.04341804283864
"22","Mated Triploid","1_start","250",12.06,0.780736508016306
"23","Mated Triploid","1_start","500",11.9666666666667,0.687066667842798
"24","Mated Triploid","1_start","750",11.9066666666667,0.696487580287653
"25","Mated Triploid","1_start","1000",11.8195652173913,0.699666031893557
"26","Mated Triploid","2_end","CTRL",11.2990181818182,1.57590441048305
"27","Mated Triploid","2_end","250",10.1892216216216,0.69336155083925
"28","Mated Triploid","2_end","500",12.4061285714286,0.911097403165228
"29","Mated Triploid","2_end","750",10.8677888888889,1.09365721601264
"30","Mated Triploid","2_end","1000",11.0896681818182,0.927470498880575
