,Ploidy,HS,Treatment,meanmass,SEM,,,
1,2m,HS,17.5,2.224758262,0.571251287,,2.22 (± 0.57),2.22 (± 0.57)
2,2m,HS,27.5,2.245171187,1.03858325,,2.25 (± 1.04),2.25 (± 1.04)
3,2m,HS,7.5,0.688039648,0.320245614,,0.69 (± 0.32),0.69 (± 0.32)
4,2m,NOHS,12.5,0.444967941,0.254866774,,0.44 (± 0.25),0.44 (± 0.25)
5,2m,NOHS,17.5,1.045889309,0.265523401,,1.05 (± 0.27),1.05 (± 0.27)
6,2m,NOHS,22.5,2.645673517,0.315602768,,2.65 (± 0.32),2.65 (± 0.32)
7,2m,NOHS,27.5,2.774749554,0.758044886,,2.77 (± 0.76),2.77 (± 0.76)
8,2m,NOHS,7.5,0.517026324,0.226342027,,0.52 (± 0.23),0.52 (± 0.23)
9,3c,HS,17.5,1.873445454,0.45441714,,1.87 (± 0.45),1.87 (± 0.45)
10,3c,HS,27.5,1.317201741,0.296502778,,1.32 (± 0.3),1.32 (± 0.3)
11,3c,HS,7.5,1.133028367,0.34159789,,1.13 (± 0.34),1.13 (± 0.34)
12,3c,NOHS,12.5,1.2045444,0.357555573,,1.2 (± 0.36),1.2 (± 0.36)
13,3c,NOHS,17.5,1.820629827,0.790858584,,1.82 (± 0.79),1.82 (± 0.79)
14,3c,NOHS,22.5,1.083832325,0.119729437,,1.08 (± 0.12),1.08 (± 0.12)
15,3c,NOHS,27.5,2.184869879,0.488516439,,2.18 (± 0.49),2.18 (± 0.49)
16,3c,NOHS,7.5,0.776589824,0.311537079,,0.78 (± 0.31),0.78 (± 0.31)
17,3m,HS,17.5,1.610578508,0.304245979,,1.61 (± 0.3),1.61 (± 0.3)
18,3m,HS,27.5,0.76946864,0.233137681,,0.77 (± 0.23),0.77 (± 0.23)
19,3m,HS,7.5,0.866247375,0.325365822,,0.87 (± 0.33),0.87 (± 0.33)
20,3m,NOHS,12.5,0.536448233,0.15308845,,0.54 (± 0.15),0.54 (± 0.15)
21,3m,NOHS,17.5,0.519199704,0.194389943,,0.52 (± 0.19),0.52 (± 0.19)
22,3m,NOHS,22.5,1.06239863,0.313807038,,1.06 (± 0.31),1.06 (± 0.31)
23,3m,NOHS,27.5,0.991552501,0.260937907,,0.99 (± 0.26),0.99 (± 0.26)
24,3m,NOHS,7.5,0.544936511,0.144105709,,0.54 (± 0.14),0.54 (± 0.14)
